2022 Bremen,2EFMS4JI2C3
2022 München,2EFMS4JI2BE
2022 Manchester,2EFMS4JI2BD
2021 New York,2EFMS4JI2C2
2021 Madrid,2EFMS4JI289
2021 U.S. Championships of Fitness - Chicago,2EFMS4JI245
2021 Hamburg,2EFMS4JI286
2021 Dallas,2EFMS4JI284
2021 Berlin,2EFMS4JI285
2021 Stuttgart,2EFMS4JI283
2021 Birmingham,2EFMS4JI282
2021 Amsterdam,2EFMS4JI281
2021 Los Angeles,2EFMS4JI26D
2021 London,2EFMS4JI26E
2021 WorldChampionship - Leipzig,2EFMS4JI25B
2021 Leipzig,2EFMS4JI259
2021 Chicago,2EFMS4JI220
2021 Orlando,2EFMS4JI21F
2021 Austin,2EFMS4JI21E
